name,botanical_name,family,synonyms,english_name,useful_parts,indications,shloka,source_document,images
"Khandu chakka","Ethretia Laevis Roxb","Boraginaceae","[]",,"[""leaves"",""bark and roots""]","[""Antibacterial and antifungal – Traditionally used to treat skin infections and wounds."",""Anti-inflammatory – Used in Ayurvedic medicine to reduce swelling and pain."",""Digestive aid – Some parts (like bark extracts) are believed to help in digestive issues."",""Liver protection – Traditional use includes formulations believed to support liver health.""]","अजनवृक्षस्य छायायां विश्रान्तिः सुखदा नृणाम्। स्थैर्यं दीर्घायुषश्चैव वन्द्यः स वृक्षराजवत्॥","35. khandu chakka.docx","[""35__khandu_chakka_1.jpg"",""35__khandu_chakka_2.jpg"",""35__khandu_chakka_3.jpg""]"
"SHYONAK","Oroxylum indicum ( L. ) Kurz.","Bignoneaceae","[""Sonapatha"",""Sona"",""Shona"",""Addi"",""Pampini""]",,"[""Leaves"",""Root"",""Seeds"",""Bark"",""Fruit""]","[""Inflammatory conditions, Arthritis, Cough, Skin disorders, Fever""]","श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः । मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ॥ दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः । श्योनाको दीपनः पाके कटुकस्तुवरो हिमः । ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ॥ (भा.प्र.)","67. Shonyak.docx","[""67__Shonyak_1.jpg"",""67__Shonyak_2.jpg"",""67__Shonyak_3.jpg"",""67__Shonyak_4.jpg"",""67__Shonyak_5.jpg"",""67__Shonyak_6.jpg""]"
"SHLESHMANTAK","Cordia dichotoma Forst.","Boraginaceae","[""Lasoda"",""Dela"",""Tenti"",""Gunda""]",,"[""Leaves"",""flowers"",""fruits"",""bark"",""and roots""]","[""Fever, Cough, Bronchitis, Asthma, Skin diseases, Wounds, Inflammation""]","श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः । मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ॥ दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः । श्योनाको दीपनः पाके कटुकस्तुवरो हिमः । ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ॥ ( भा. प्र. )","66. Shleshmantaka.docx","[""66__Shleshmantaka_1.jpg"",""66__Shleshmantaka_2.jpg"",""66__Shleshmantaka_3.jpg"",""66__Shleshmantaka_4.jpg"",""66__Shleshmantaka_5.jpg"",""66__Shleshmantaka_6.jpg""]"
"KAILASHPATI","Couroupita guianensis Abul.","Lecythideceae","[""Lingvruksham"",""Nagalingavruksh English – Cannon Ball Tree""]",,"[""Leaves"",""Flowers"",""Fruits"",""Bark""]","[""Hypertension, Tumor, Pain, Inflammatory reactions, Skin diseases, Malerial Fever""]",,"29. Kailashpati.docx","[""29__Kailashpati_1.jpg"",""29__Kailashpati_2.jpg"",""29__Kailashpati_3.jpg"",""29__Kailashpati_4.jpg"",""29__Kailashpati_5.jpg"",""29__Kailashpati_6.jpg"",""29__Kailashpati_7.jpg""]"
"JYOTISHMATI","Celastrus paniculatus Linn.","Celastraceae","[""Jyotishmati"",""Katabhi"",""Jyotishka"",""Surasa"",""Somavallika"",""Paravatpadi"",""Malkangani English – Black Oil Plant"",""Intellect Tree"",""Climbing Staff Tree""]",,"[""Leaves"",""Root"",""Seeds""]","[""Neurological disorder, Dementia, Loss of memory, Mental disorders, Rheumatism and Arthritis , Indigestion and Constipation, Skin diseases""]","ज्योतिष्मती कटुस्तिक्ता सरा कफसमीरजित् । अत्युष्णा वामनी तीक्ष्णा वह्निबुद्धिमतिप्रदा ।। (भा.प्र.)","27. Jyotishmati.docx","[""27__Jyotishmati_1.jpg"",""27__Jyotishmati_2.jpg"",""27__Jyotishmati_3.jpg"",""27__Jyotishmati_4.jpg"",""27__Jyotishmati_5.jpg"",""27__Jyotishmati_6.jpg""]"
"VARUN","Crataeva nurvala Buch.Ham","Crappradaceae","[""Tiktashak"",""Padap"",""Bilvpatra"",""Bahupushpa"",""Kumarak"",""Setuvruksha""]",,"[""Bark"",""Roots"",""Leaves""]","[""Diuretic, Anti-lithiatic, Anti-inflammatory , Laxative""]","वरुणो वरणः सेतुस्तिक्तशाकः कुमारकः । वरुणःपित्तलो भेदीश्लेष्मकृच्छ्राश्ममारुतान्॥ निहन्ति गुल्मवातास्त्रकृर्मीश्चोष्णोऽग्निदीपनः । कषायो मधुरस्तिक्तः कटुकोरूक्षको लघुः ॥ ( भा. प्र. )","74. Varun.docx","[""74__Varun_1.jpg"",""74__Varun_2.jpg"",""74__Varun_3.jpg""]"
"Kupilu","Strychnos nuxvomica Linn","Loganiaceae","[""Vishatinduka"",""Kakatinduka"",""Kakapiluka"",""Garadruma"",""and Karaskara English – Nux-Vomica"",""poison Nut""]",,"[""seeds""]","[""POISINOUS DRUG"",""It is used in loss of appetite, gastric inflammation, amadosha, colitis, piles and parasitic infection. It is the best medicine for gastric laxity and spasm""]","विषमुष्टिर्विषप्रायाः कटुका तिक्तका लघुः। उष्णा तीक्ष्णा च रोचिष्णु: कृमिघ्नी वातनाशिनी॥ भा. प्र.","38. Kupilu.docx","[""38__Kupilu_1.jpg"",""38__Kupilu_2.png"",""38__Kupilu_3.jpg"",""38__Kupilu_4.jpg""]"
"JAMBU","Syzygium Cumini Linn.","Myrtaceae","[""Mahaphala"",""Phalendra"",""Surbhipatra"",""Mahaskandha English – Black Plum""]",,"[""Fruit"",""Seed"",""Leaves"",""Stem bark.""]","[""Diabetes, Tooth and Gum diseases, Diarrhea""]","फलेन्द्रा कथिता नन्दी राजजम्बूर्महाफला । तथा सुरभिपत्रा च महाजम्बूरपि स्मृता । राजजम्बूफलं स्वादु विष्टम्भि गुरु रोचनम् ॥ ( भा. प्र. )","25. Jambu.docx","[""25__Jambu_1.jpg"",""25__Jambu_2.jpg"",""25__Jambu_3.jpg""]"
"Saptachakra","Salacia reticulate","Celastraceae","[""Swarnamula"",""Pitika"",""Saptasuta"",""Saptrangi""]",,"[""Root and Root Bark""]","[""Prameha (Diabetes mellitus)"",""Medoroga (Obesity)"",""Kushtha (Skin diseases)"",""Shotha (Inflammation)"",""Krimi (Helminthiasis/worm infestation)""]","“सप्तचक्रं सरं तिक्तं कषायं दीपनं लघु | कुष्ठमेहहरं रुच्यं श्लेष्मकृमिविनाशनम् ||” (BP)","63. Saptachakra.docx","[""63__Saptachakra_1.jpg"",""63__Saptachakra_2.jpg""]"
"HARITAKI","Terminalia chebula Ritz.","Combratceae","[""Abhaya"",""Pathya"",""Harad English – Chebulic Myrobelan""]",,"[""Fruit rind""]","[""Constipation, Anorexia, Indigestion, Blood disorders, Skin disorders, Respiratory issues including bronchial asthma, Inflammatory conditions, Aging""]","हरीतकी पञ्चरसाऽलवणा तुवरा परम् । रूक्षोष्णा दीपनी मेध्या स्वादुपाका रसायनी ॥ चक्षुष्या लघुरायुष्या बृंहणी चानुलोमिनी । श्वासकासप्रमेहार्शः कुष्ठशोथोदरक्रिमीन् ॥ वैस्वर्यग्रहणीरोगविबन्धविषमज्वरान् । गुल्माध्मानतृषाछर्दिहिक्काकण्डूहृदामयान् ॥ कामलां शूलमानाहं प्लीहानञ्च यकृत्तथा । ( भा. प्र. )","24. Haritaki (1).docx","[""24__Haritaki__1__1.jpg"",""24__Haritaki__1__2.jpg"",""24__Haritaki__1__3.jpg"",""24__Haritaki__1__4.jpg""]"
